,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
2929,J. Johansson,28,Sweden,73,73,Stade Rennais FC,€4M,€26K,CM
2930,T. Murg,23,Austria,73,77,SK Rapid Wien,€5M,€14K,RM
2931,J. Ramírez,25,Argentina,73,75,Club Atlético Talleres,€4.8M,€14K,LW
2932,F. Vicari,23,Italy,73,81,SPAL,€5M,€10K,CB
2933,K. Adams Nuhu,23,Ghana,73,81,TSG 1899 Hoffenheim,€5M,€20K,CB
2934,P. Nardi,24,France,73,78,KSV Cercle Brugge,€3.9M,€27K,GK
2935,H. Magnússon,25,Iceland,73,78,PFC CSKA Moscow,€4.5M,€1K,LB
2936,O. Edouard,20,France,73,84,Celtic,€7M,€32K,ST
2937,D. Rice,19,Republic of Ireland,73,84,West Ham United,€6M,€21K,CDM
2938,Evandro Rochedo,34,Brazil,73,73,Atlético Mineiro,€2.1M,€29K,ST
2939,K. Westwood,33,Republic of Ireland,73,73,Sheffield Wednesday,€2M,€17K,GK
2940,Bracali,37,Brazil,73,73,Boavista FC,€270K,€4K,GK
2941,M. Sperduti,32,Argentina,73,73,Patronato,€3.1M,€13K,RM
2942,Y. Gómez Andrade,26,Colombia,73,75,Unión de Santa Fe,€4M,€12K,CB
2943,G. Peruzzi,26,Argentina,73,76,Boca Juniors,€4.1M,€17K,RB
2944,Toni Villa,23,Spain,73,82,Real Valladolid CF,€6M,€14K,CF
2945,Y. Gordillo,26,Colombia,73,78,Independiente Santa Fe,€4.4M,€4K,LDM
2946,Ricardo,31,Portugal,73,73,Henan Jianye FC,€3.6M,€13K,ST
2947,B. Sanneh,23,Gambia,73,79,RSC Anderlecht,€4.7M,€13K,CB
2948,Michel Cruceiro,26,Brazil,73,73,Atlético Mineiro,€3.5M,€24K,LDM
2949,L. Burián,34,Uruguay,73,73,Club Atlético Colón,€1.6M,€9K,GK
2950,M. Tekdemir,30,Turkey,73,73,Medipol Ba?ak?ehir FK,€3M,€18K,CDM
2951,K. Lamprou,26,Greece,73,74,Ajax,€3.2M,€11K,GK
2952,I. Mbaye,23,Senegal,73,80,Bologna,€4.7M,€19K,RB
2953,A. Browne,23,Republic of Ireland,73,78,Preston North End,€5.5M,€11K,CAM
2954,G. Pazzini,33,Italy,73,73,Hellas Verona,€2.5M,€5K,ST
2955,Eduardo,25,Brazil,73,76,SC Braga,€4.9M,€11K,CM
2956,C. Santos,30,Venezuela,73,73,Deportivo de La Coruña,€3.9M,€10K,ST
2957,E. Mendy,26,Senegal,73,76,Stade de Reims,€3.5M,€12K,GK
2958,M. Ngadeu-Ngadjui,27,Cameroon,73,75,SK Slavia Praha,€3.9M,€1K,LCB
2959,L. Mazzitelli,22,Italy,73,78,Genoa,€5.5M,€32K,CM
2960,J. Lolley,25,England,73,74,Nottingham Forest,€4.8M,€36K,RM
2961,A. Traoré,29,Burkina Faso,73,73,Atiker Konyaspor,€3.9M,€16K,CAM
2962,V. Stocker,29,Switzerland,73,73,FC Basel 1893,€3.9M,€22K,LM
2963,D. Alar,28,Austria,73,73,SK Rapid Wien,€4.1M,€18K,ST
2964,J. Añor,24,Venezuela,73,78,Málaga CF,€5.5M,€8K,RM
2965,A. Donis,21,Greece,73,83,VfB Stuttgart,€6.5M,€21K,ST
2966,M. Gazzola,33,Italy,73,73,Parma,€1.5M,€29K,RB
2967,F. Diagne,28,Senegal,73,73,Atiker Konyaspor,€3.2M,€14K,RCB
2968,S. Schaars,34,Netherlands,73,73,SC Heerenveen,€1.2M,€8K,CDM
2969,M. Poundjé,25,France,73,76,FC Girondins de Bordeaux,€4.1M,€27K,LB
2970,F. Hinestroza,28,Colombia,73,73,Rionegro Águilas,€4M,€2K,RM
2971,A. Hahn,27,Germany,73,73,FC Augsburg,€4.2M,€20K,RM
2972,V. Shepelev,21,Ukraine,73,82,Dynamo Kyiv,€5.5M,€1K,RDM
2973,M. Leitner,25,Germany,73,75,Norwich City,€4.8M,€22K,LDM
2974,R. Skov,22,Denmark,73,81,FC København,€6M,€15K,RM
2975,B. Guzan,33,United States,73,73,Atlanta United,€2M,€5K,GK
2976,M. Mitrovi?,24,Croatia,73,78,Club Brugge KV,€4.5M,€14K,CB
2977,A. Luthe,31,Germany,73,73,FC Augsburg,€2.4M,€15K,GK
2978,A. Traoré,28,Ivory Coast,73,73,Göztepe SK,€3.2M,€19K,LB
2979,N. Uysal,27,Turkey,73,75,Be?ikta? JK,€3.9M,€32K,RCB
2980,G. Donati,28,Italy,73,73,1. FSV Mainz 05,€3.2M,€21K,RB
2981,A. Ujah,27,Nigeria,73,73,1. FSV Mainz 05,€4.3M,€23K,ST
2982,A. Kravets,29,Ukraine,73,73,Kayserispor,€4M,€14K,ST
2983,Z. Tomaševi?,28,Montenegro,73,74,KV Oostende,€3.6M,€13K,CB
2984,M. Borjan,30,Canada,73,73,,€ 0,€ 0,GK
2985,S. Luki?,21,Serbia,73,80,Torino,€4.9M,€21K,CDM
2986,C. Goldson,25,England,73,80,Rangers FC,€4.8M,€34K,RCB
2987,Rubén Alcaraz,27,Spain,73,74,Real Valladolid CF,€4.5M,€16K,LCM
2988,L. Ulloa,31,Argentina,73,73,Pachuca,€3.6M,€26K,ST
2989,Iván López,24,Spain,73,78,Gimnàstic de Tarragona,€4.5M,€15K,RB
2990,S. Amrabat,21,Morocco,73,79,Club Brugge KV,€5.5M,€13K,CM
2991,M. Wöber,20,Austria,73,81,Ajax,€5M,€9K,CB
2992,F. Lucioni,30,Italy,73,73,Lecce,€3M,€4K,RCB
2993,Calero,22,Spain,73,82,Real Valladolid CF,€5.5M,€13K,LCB
2994,C. Marrugo,32,Colombia,73,73,Millonarios FC,€3.1M,€8K,CAM
2995,J. Forlín,30,Argentina,73,73,Real Oviedo,€3M,€9K,CB
2996,L. Janson,23,Argentina,73,79,Toronto FC,€5.5M,€12K,CF
2997,B. Bolingoli,23,Belgium,73,78,SK Rapid Wien,€4.5M,€12K,LB
2998,Thiago Santana,25,Brazil,73,75,Santa Clara,€5M,€6K,ST
2999,K. Rausch,28,Russia,73,73,,€ 0,€ 0,LB
3000,N. Etheridge,28,Philippines,73,75,Cardiff City,€3.3M,€28K,GK
3001,Aitor Sanz,33,Spain,73,73,CD Tenerife,€1.6M,€8K,CDM
3002,Frederico Venâncio,25,Portugal,73,77,Vitória Guimarães,€4.3M,€8K,CB
3003,M. Gruji?,22,Serbia,73,84,Hertha BSC,€6M,€51K,RDM
3004,M. Langerak,29,Australia,73,74,Nagoya Grampus,€3.1M,€6K,GK
3005,H. Manzala,24,DR Congo,73,79,Angers SCO,€5.5M,€16K,LM
3006,Paulinho,32,Brazil,73,73,BK Häcken,€3.1M,€5K,LW
3007,W. Troost-Ekong,24,Nigeria,73,77,Udinese,€4.4M,€17K,RCB
3008,D. Fagundez,23,Uruguay,73,77,New England Revolution,€5M,€6K,CAM
3009,U. Demirok,29,Turkey,73,73,Atiker Konyaspor,€3.1M,€14K,LCB
3010,R. Kruse,29,Australia,73,73,VfL Bochum 1848,€3.9M,€16K,LM
3011,T. Matlaba,30,South Africa,73,73,Orlando Pirates,€2.9M,€1K,LB
3012,G. Banguera,22,Colombia,73,82,Atlético Huila,€4.7M,€2K,GK
3013,A. Özbiliz,28,Armenia,73,73,Willem II,€4M,€40K,RW
3014,S. Al Dawsari,26,Saudi Arabia,73,73,Al Hilal,€4.3M,€29K,LM
3015,I. Success,22,Nigeria,73,80,Watford,€5.5M,€34K,RM
3016,A. Long,25,United States,73,78,New York Red Bulls,€4.5M,€6K,RCB
3017,M. Škoda,32,Czech Republic,73,73,SK Slavia Praha,€3.2M,€1K,ST
3018,A. Diakhaby,21,France,73,78,Huddersfield Town,€5.5M,€26K,RM
3019,D. Kadah,32,Turkey,73,73,Göztepe SK,€3.1M,€20K,CAM
3020,A. Ríos,29,Mexico,73,73,Deportivo Toluca,€3.1M,€19K,RCM
3021,J. Mateta,21,France,73,84,1. FSV Mainz 05,€7M,€18K,RS
3022,F. Cacciatore,31,Italy,73,73,Chievo Verona,€2.6M,€13K,RB
3023,R. van Rhijn,27,Netherlands,73,74,AZ Alkmaar,€3.7M,€12K,RB
3024,R. Pérez,28,Colombia,73,74,Junior FC,€3.6M,€4K,RCB
3025,A. Baumjohann,31,Germany,73,73,Western Sydney Wanderers,€3.5M,€9K,CAM
3026,R. Elm,30,Sweden,73,73,Kalmar FF,€3.7M,€4K,RCM
3027,H. Kald?r?m,28,Turkey,73,73,Fenerbahçe SK,€3.2M,€43K,LB
3028,F. Monetti,29,Argentina,73,75,Atlético Nacional,€3.2M,€4K,GK
3029,K. Nababkin,31,Russia,73,73,PFC CSKA Moscow,€2.6M,€1K,LM
3030,S. Williams,31,Republic of Ireland,73,73,Millwall,€2.7M,€12K,CDM
3031,M. St?pi?ski,23,Poland,73,80,Chievo Verona,€5.5M,€14K,LS
3032,M. Pazdan,30,Poland,73,73,Legia Warszawa,€3M,€8K,CB
3033,T. Al Jassam,33,Saudi Arabia,73,73,Al Wehda,€2.3M,€29K,CAM
3034,M. Heller,32,Germany,73,73,SV Darmstadt 98,€3.1M,€17K,RM
3035,V. Pajot,27,France,73,73,Angers SCO,€4.1M,€19K,CM
3036,Y. Asad,23,Argentina,73,79,DC United,€5.5M,€11K,LM
3037,Y. Banana,26,Cameroon,73,75,,€ 0,€ 0,RB
3038,W. Montillo,34,Argentina,73,73,Club Atlético Tigre,€2M,€13K,CAM
3039,L. Waldschmidt,22,Germany,73,79,SC Freiburg,€5.5M,€19K,LS
3040,Y. Makarenko,27,Ukraine,73,75,RSC Anderlecht,€3.9M,€15K,CM
3041,J. Mæhle,21,Denmark,73,81,KRC Genk,€5M,€9K,RB
3042,A. Reach,25,England,73,77,Sheffield Wednesday,€5M,€22K,CAM
3043,Y. Ayhan,36,Turkey,73,73,MKE Ankaragücü,€550K,€12K,RCB
3044,N. Skubic,29,Slovenia,73,73,Atiker Konyaspor,€3M,€14K,RB
3045,Frédéric Mendy,29,Guinea Bissau,73,73,Vitória de Setúbal,€4M,€7K,ST
3046,D. Pizarro,38,Chile,73,73,Universidad de Chile,€1.3M,€8K,CM
3047,Pierrino Faria,30,Brazil,73,73,Santos,€2.6M,€11K,GK
3048,Adrián González,30,Spain,73,73,Málaga CF,€3M,€8K,LDM
3049,F. Tobio,28,Argentina,73,74,Deportivo Toluca,€3.6M,€19K,LCB
3050,R. Sigurðsson,32,Iceland,73,73,,€ 0,€ 0,LCB
3051,K. Reichel,31,Germany,73,73,1. FC Union Berlin,€2.6M,€23K,LB
3052,Nivo Serpinho,34,Brazil,73,73,Chapecoense,€1.6M,€10K,GK
3053,M. Wagué,27,Mali,73,75,Udinese,€3.9M,€19K,CB
3054,M. Klich,28,Poland,73,73,Leeds United,€4M,€35K,RM
3055,A. Abdennour,28,Tunisia,73,73,Olympique de Marseille,€3.2M,€24K,CB
3056,B. Wood,25,United States,73,76,Hannover 96,€5M,€13K,ST
3057,Álex Pérez,26,Spain,73,75,Real Sporting de Gijón,€4M,€8K,RCB
3058,G. Cano,30,Argentina,73,73,Independiente Medellín,€3.9M,€4K,RS
3059,I. Arboleda,22,Colombia,73,80,Club Atlético Banfield,€4.1M,€8K,GK
3060,A. Domínguez,31,Ecuador,73,73,Vélez Sarsfield,€2.4M,€10K,GK
3061,O. Kragl,28,Germany,73,73,Foggia,€4M,€4K,LM
3062,José Rodríguez,23,Spain,73,78,Fortuna Sittard,€4.5M,€17K,RCM
3063,F. Pardo,27,Colombia,73,73,Olympiacos CFP,€4.2M,€1K,RM
3064,R. Doan,20,Japan,73,84,FC Groningen,€7M,€6K,RM
3065,O. Hiljemark,26,Sweden,73,75,Genoa,€4.8M,€14K,CM
3066,J. McGinn,23,Scotland,73,78,Aston Villa,€5.5M,€15K,RCM
3067,V. Vada,22,Argentina,73,79,FC Girondins de Bordeaux,€5.5M,€27K,CM
3068,R. Halliche,31,Algeria,73,73,Moreirense FC,€2.7M,€6K,CB
3069,L. Marrone,28,Italy,73,73,Hellas Verona,€3.2M,€61K,LCB
3070,G. Cimirot,25,Bosnia Herzegovina,73,76,Standard de Liège,€4.9M,€13K,LCM
3071,K. Wilczek,30,Poland,73,73,Brøndby IF,€3.9M,€24K,RS
3072,João Amaral,26,Portugal,73,73,Lech Pozna?,€4.3M,€9K,RM
3073,R. Bengtsson,32,Sweden,73,73,Malmö FF,€2.3M,€6K,CB
3074,E. Johansson,29,Sweden,73,73,Djurgårdens IF,€3.1M,€6K,LCB
3075,Hélder Lopes,29,Portugal,73,73,AEK Athens,€3M,€1K,LB
3076,Serginho,24,Brazil,73,78,Kashima Antlers,€5.5M,€11K,ST
3077,M. Linnes,26,Norway,73,74,Galatasaray SK,€3.8M,€37K,RB
3078,S. Tibbling,23,Sweden,73,79,Brøndby IF,€5.5M,€19K,LCM
3079,S. Simi?,23,Czech Republic,73,81,Milan,€5M,€44K,CB
3080,W. Trapp,25,United States,73,77,Columbus Crew SC,€4.3M,€6K,CDM
3081,N. Radonji?,22,Serbia,73,80,Olympique de Marseille,€5.5M,€31K,LW
3082,M. Sau,30,Italy,73,73,Cagliari,€3.9M,€27K,ST
3083,J. Schieber,29,Germany,73,73,FC Augsburg,€4M,€22K,ST
3084,Botía,29,Spain,73,73,Al Hilal,€3.1M,€28K,RCB
3085,W. Kanon,24,Ivory Coast,73,77,ADO Den Haag,€4.4M,€7K,LCB
3086,Amilton,28,Brazil,73,73,CD Aves,€4M,€12K,RW
3087,J. Ito,25,Japan,73,75,Kashiwa Reysol,€4.9M,€9K,RM
3088,Edgar Badía,26,Spain,73,77,CF Reus Deportiu,€3.6M,€6K,GK
3089,N. Penneteau,37,France,73,73,Sporting de Charleroi,€270K,€6K,GK
3090,V. Lazaro,22,Austria,73,78,Hertha BSC,€4.5M,€17K,RM
3091,V. Wormgoor,29,Netherlands,73,73,SK Brann,€3.1M,€5K,RCB
3092,A. Hunou,24,France,73,78,Stade Rennais FC,€5.5M,€21K,RM
3093,L. Gamba,31,Argentina,73,73,Club Atlético Huracán,€3.6M,€15K,RS
3094,Kim Seung Joon,23,Korea Republic,73,75,Ulsan Hyundai FC,€4.9M,€7K,RW
3095,R. Krhin,28,Slovenia,73,73,FC Nantes,€3.2M,€19K,RDM
3096,J. Herrera,37,Chile,73,73,Universidad de Chile,€270K,€5K,GK
3097,B. Stancu,31,Romania,73,73,Bursaspor,€3.6M,€16K,ST
3098,A. Tashaev,24,Russia,73,77,Spartak Moscow,€5M,€1K,LM
3099,M. Frantz,31,Germany,73,73,SC Freiburg,€3.4M,€20K,LM
3100,R. Bezus,27,Ukraine,73,73,Sint-Truidense VV,€4.2M,€11K,CM
3101,Shin Hwa Yong,35,Korea Republic,73,73,Suwon Samsung Bluewings,€950K,€4K,GK
3102,R. Genevois,30,Haiti,73,73,Stade Malherbe Caen,€3M,€17K,CB
3103,M. Degenek,24,Australia,73,80,,€ 0,€ 0,CB
3104,Oswaldito Cuba,34,Brazil,73,73,Chapecoense,€1.1M,€13K,LB
3105,C. Rigamonti,31,Argentina,73,73,Belgrano de Córdoba,€2.4M,€10K,GK
3106,Wallace,30,Brazil,73,73,Göztepe SK,€3M,€18K,RCB
3107,J. Kova?ík,30,Czech Republic,73,73,Viktoria Plze?,€3.8M,€1K,LM
3108,Douglas Luiz,20,Brazil,73,83,Girona FC,€6.5M,€55K,LCM
3109,V. Torosidis,33,Greece,73,73,Olympiacos CFP,€1.5M,€1K,RB
3110,N. Isimat-Mirin,26,France,73,74,PSV,€3.9M,€12K,CB
3111,Rúben Ferreira,28,Portugal,73,73,Clube Sport Marítimo,€3.2M,€9K,LB
3112,L. Gil,27,Argentina,73,74,Rosario Central,€3.8M,€13K,RDM
3113,P. Diop,20,Spain,73,84,Olympique Lyonnais,€7M,€31K,CM
3114,Z. Machach,22,France,73,80,Carpi,€5.5M,€36K,CAM
3115,M. Bettinelli,26,England,73,77,Fulham,€3.6M,€30K,GK
3116,A. Peñaranda,21,Venezuela,73,81,Watford,€6M,€32K,ST
3117,K. Frei,24,Turkey,73,76,Medipol Ba?ak?ehir FK,€5M,€17K,LM
3118,Sergi Samper,23,Spain,73,80,FC Barcelona,€4.8M,€69K,CDM
3119,R. Lod,25,Finland,73,77,Real Sporting de Gijón,€5M,€9K,RM
3120,H. Saivet,27,Senegal,73,73,Bursaspor,€4.1M,€36K,CM
3121,A. Regattin,26,Morocco,73,73,Akhisar Belediyespor,€4.3M,€15K,LM
3122,Mauro Cildinho,34,Brazil,73,73,Sport Club do Recife,€1.1M,€13K,RB
3123,J. Ikoko,24,DR Congo,73,78,En Avant de Guingamp,€4.5M,€15K,RB
3124,P. Chavarría,30,Argentina,73,73,Stade de Reims,€3.9M,€17K,ST
3125,R. Bennett,28,England,73,73,Wolverhampton Wanderers,€3.2M,€46K,RCB
3126,K. Hansen,29,Denmark,73,73,FC Midtjylland,€3.1M,€18K,RCB
3127,S. Gürler,26,Turkey,73,73,SD Huesca,€4.3M,€19K,RM
3128,D. Dainelli,39,Italy,73,73,Livorno,€270K,€2K,CB
3129,M. Mantovani,33,Argentina,73,73,UD Las Palmas,€1.6M,€9K,CB
3130,A. Zeneli,23,Kosovo,73,77,SC Heerenveen,€5M,€8K,LM
3131,João Carvalho,21,Portugal,73,82,Nottingham Forest,€6M,€28K,CAM
3132,N. Barazite,28,Netherlands,73,73,Yeni Malatyaspor,€4M,€13K,CAM
3133,M. Aguirregaray,29,Uruguay,73,73,Al Fateh,€3M,€22K,RB
3134,A. Ricaurte,26,Colombia,73,75,Independiente Medellín,€4M,€4K,LM
3135,D. Randolph,31,Republic of Ireland,73,73,Middlesbrough,€2.4M,€31K,GK
3136,Omar Ramos,30,Spain,73,73,Real Oviedo,€3.8M,€10K,RM
3137,D. Jensen,26,Denmark,73,76,FC Utrecht,€3.5M,€11K,GK
3138,J. Duque,26,Colombia,73,77,Millonarios FC,€4.3M,€4K,CDM
3139,E. Reynoso,22,Argentina,73,80,Boca Juniors,€5.5M,€16K,CM
3140,J. Elez,24,Croatia,73,77,Hannover 96,€4.4M,€20K,LCB
3141,J. Gutiérrez,34,Argentina,73,73,Defensa y Justicia,€1.9M,€12K,CM
3142,M. Leye,35,Senegal,73,73,Royal Excel Mouscron,€1.8M,€9K,ST
3143,K. Naughton,29,England,73,73,Swansea City,€3M,€22K,RB
3144,Caio Secco,27,Brazil,73,75,CD Feirense,€3.2M,€8K,GK
3145,B. Bianchi,29,Argentina,73,73,Atlético Tucumán,€3.1M,€10K,RCB
3146,E. Barco,19,Argentina,73,88,Atlanta United,€8.5M,€4K,LM
3147,T. Leistner,27,Germany,73,74,Queens Park Rangers,€3.8M,€9K,RCB
3148,R. Kishna,23,Netherlands,73,77,ADO Den Haag,€5M,€32K,LW
3149,F. Bachirou,28,Comoros,73,73,Malmö FF,€4M,€7K,CM
3150,K. Rezaei,26,Iran,73,75,Club Brugge KV,€4.9M,€20K,ST
3151,D. Vukovic,33,Australia,73,73,KRC Genk,€2M,€10K,GK
3152,R. Nouri,33,France,73,73,AC Ajaccio,€2.4M,€7K,LM
3153,J. Gómez,24,Argentina,73,78,Club Atlético Lanús,€4.5M,€12K,RB
3154,Y. Gouffran,32,France,73,73,Göztepe SK,€3.1M,€20K,LM
3155,Manu García,20,Spain,73,84,Toulouse Football Club,€7M,€55K,CAM
3156,I. Köyba??,28,Turkey,73,73,Fenerbahçe SK,€3.2M,€43K,LB
3157,Juan Villar,30,Spain,73,73,CA Osasuna,€3.8M,€9K,RM
3158,Y. Namli,24,Denmark,73,76,PEC Zwolle,€5M,€8K,RM
3159,G. Blanco,26,Argentina,73,74,Málaga CF,€4.8M,€10K,LS
3160,A. Ramos,32,Colombia,73,73,Granada CF,€3.2M,€10K,ST
3161,M. Jedinák,33,Australia,73,73,Aston Villa,€1.6M,€15K,CDM
3162,M. Rybus,28,Poland,73,73,Lokomotiv Moscow,€3.2M,€1K,LB
3163,J. Barroso,33,Argentina,73,73,Colo-Colo,€1.6M,€7K,CB
3164,A. Cohen,29,Israel,73,73,FC Ingolstadt 04,€3.1M,€20K,LDM
3165,B. Raman,23,Belgium,73,79,Fortuna Düsseldorf,€5.5M,€20K,LM
3166,A. McGeady,32,Republic of Ireland,73,73,Sunderland,€3.1M,€13K,LM
3167,B. Reid,25,England,73,78,Cardiff City,€5.5M,€37K,ST
3168,Hervías,25,Spain,73,76,SD Eibar,€5M,€17K,RM
3169,L. Pocrnjic,36,Argentina,73,73,Club Atlético Aldosivi,€550K,€5K,GK
3170,S. Ingason,24,Iceland,73,78,,€ 0,€ 0,CB
3171,T. Heurtaux,29,France,73,73,MKE Ankaragücü,€3.1M,€17K,CB
3172,G. Wikheim,25,Norway,73,76,FC Midtjylland,€5M,€20K,LW
3173,Valdivia,23,Brazil,73,78,Al Ittihad,€5.5M,€18K,CAM
3174,S. Cáseres,21,Argentina,73,83,Villarreal CF,€5.5M,€15K,CDM
3175,A. Gunnarsson,29,Iceland,73,73,Cardiff City,€3.1M,€34K,RCM
3176,L. Hinterseer,27,Austria,73,74,VfL Bochum 1848,€4.7M,€17K,ST
3177,S. Peeters,26,Belgium,73,76,Stade Malherbe Caen,€4.9M,€19K,LCM
3178,U. Agbo,22,Nigeria,73,80,Standard de Liège,€4.8M,€11K,CDM
3179,D. Luckassen,22,Netherlands,73,77,Hertha BSC,€4.4M,€10K,CB
3180,M. Terrier,21,France,73,83,Olympique Lyonnais,€6.5M,€35K,ST
3181,Marcos Guilherme,22,Brazil,73,79,Al Wehda,€5.5M,€18K,RM
3182,T. Parker,25,United States,73,78,New York Red Bulls,€4.5M,€6K,CB
3183,A. Lookman,20,England,73,85,Everton,€7M,€46K,LM
3184,P. Mouche,30,Argentina,73,73,San Lorenzo de Almagro,€3.8M,€17K,LM
3185,A. Rosina,34,Italy,73,73,US Salernitana 1919,€2M,€5K,RW
3186,B. Bannan,28,Scotland,73,73,Sheffield Wednesday,€4M,€24K,LDM
3187,Édundo Oliveira,26,Brazil,73,73,Cruzeiro,€3.5M,€21K,LCB
3188,Guilherme,27,Brazil,73,73,Yeni Malatyaspor,€4.2M,€5K,RM
3189,A. Solari,26,Argentina,73,74,Racing Club,€4.7M,€17K,RM
3190,H. Barnes,20,England,73,84,West Bromwich Albion,€7M,€34K,CAM
3191,V. Coufal,25,Czech Republic,73,76,SK Slavia Praha,€4.1M,€1K,RB
3192,S. Di Carmine,29,Italy,73,73,Hellas Verona,€4M,€5K,ST
3193,C. Roldan,23,United States,73,79,Seattle Sounders FC,€4.7M,€6K,RM
3194,F. Lemoine,31,France,73,73,FC Lorient,€2.7M,€8K,RCM
3195,Djalma,31,Angola,73,73,Alanyaspor,€3.5M,€13K,LM
3196,D. Lukebakio,20,Belgium,73,81,Fortuna Düsseldorf,€6M,€29K,RS
3197,Y. Benalouane,31,Tunisia,73,73,Leicester City,€2.7M,€42K,CB
3198,L. Pisculichi,34,Argentina,73,73,Argentinos Juniors,€2M,€12K,CAM
3199,Edinho,35,Portugal,73,73,CD Feirense,€1.8M,€9K,ST
3200,Paolito Serra,26,Brazil,73,73,Botafogo,€3.5M,€17K,LCB
3201,J. Fleck,26,Scotland,73,74,Sheffield United,€4.6M,€12K,LCM
3202,L. Rosi?,25,Serbia,73,78,SC Braga,€4.5M,€10K,CB
3203,F. Soldano,23,Argentina,73,79,Unión de Santa Fe,€5.5M,€12K,ST
3204,A. Hansen,28,Norway,73,75,Rosenborg BK,€3.3M,€6K,GK
3205,V. García,24,Venezuela,73,78,Vitória Guimarães,€4.5M,€7K,RB
3206,F. Sánchez,28,Argentina,73,73,Estudiantes de La Plata,€3.2M,€14K,RB
3207,C. Carmona,31,Chile,73,73,Colo-Colo,€2.7M,€7K,CDM
3208,B. Sigurðarson,27,Iceland,73,74,,€ 0,€ 0,ST
3209,Y. Yotún,28,Peru,73,73,Orlando City SC,€4M,€8K,LDM
3210,G. Zardes,26,United States,73,74,Columbus Crew SC,€4.8M,€8K,ST
3211,J. Ménez,31,France,73,73,Club América,€3.6M,€48K,ST
3212,S. Prediger,31,Argentina,73,73,Club Atlético Tigre,€2.7M,€12K,LDM
3213,A. Webster,23,England,72,77,Bristol City,€3.5M,€23K,LCB
3214,I. Damonte,36,Argentina,72,72,Club Atlético Huracán,€975K,€9K,RCM
3215,A. Dioussé,20,Senegal,72,80,AS Saint-Étienne,€4M,€14K,CDM
3216,Laure,33,Spain,72,72,AD Alcorcón,€1.2M,€7K,RB
3217,N. Karelis,26,Greece,72,75,PAOK,€3.9M,€1K,ST
3218,Vesga,25,Spain,72,77,CD Leganés,€3.5M,€14K,CDM
3219,V. Jovanovi?,22,Serbia,72,78,FC Girondins de Bordeaux,€3.6M,€21K,CB
3220,J. Filipovi?,25,Croatia,72,75,Sporting Lokeren,€3.3M,€10K,RCB
3221,J. Cuevas,30,Argentina,72,72,CD Everton de Viña del Mar,€2.9M,€4K,RW
3222,Rober Ibáñez,25,Spain,72,75,Getafe CF,€3.9M,€15K,RM
3223,J. Zmrhal,24,Czech Republic,72,75,SK Slavia Praha,€3.9M,€1K,LM
3224,J. Murphy,23,England,72,80,Newcastle United,€4.6M,€27K,RM
3225,D. Siovas,29,Greece,72,72,CD Leganés,€2.4M,€19K,CB
3226,J. Pohjanpalo,23,Finland,72,77,Bayer 04 Leverkusen,€4.2M,€35K,ST
3227,R. Pierre-Gabriel,20,France,72,82,AS Monaco,€4.3M,€26K,RB
3228,H. Droguett,35,Chile,72,72,CD Universidad de Concepción,€1.4M,€3K,CAM
3229,B. Corgnet,31,France,72,72,RC Strasbourg Alsace,€2.7M,€14K,RM
3230,A. Benali,26,Libya,72,73,Crotone,€3.6M,€4K,CAM
3231,V. Ibarbo,28,Colombia,72,72,Sagan Tosu,€3.2M,€5K,ST
3232,F. Boulaya,25,Algeria,72,75,FC Metz,€3.9M,€7K,RW
3233,A. Blin,21,France,72,80,Amiens SC,€4M,€13K,CDM
3234,H. Aleesami,26,Norway,72,72,Palermo,€2.6M,€3K,LB
3235,J. Kenny,21,England,72,79,Everton,€3.7M,€35K,RB
3236,D. Livakovi?,22,Croatia,72,80,Dinamo Zagreb,€3.4M,€1K,GK
3237,R. Koolwijk,32,Netherlands,72,72,Excelsior,€1.8M,€6K,LDM
3238,B. Parker,32,South Africa,72,72,Kaizer Chiefs,€2.5M,€1K,CAM
3239,K. Omeruo,24,Nigeria,72,79,CD Leganés,€3.7M,€45K,CB
3240,G. Letizia,28,Italy,72,72,Benevento,€2.5M,€4K,LB
3241,D. Dessoleil,25,Belgium,72,75,Sporting de Charleroi,€3.3M,€10K,RCB
3242,C. Nørgaard,24,Denmark,72,79,Fiorentina,€3.7M,€27K,CDM
3243,Manu Del Moral,34,Spain,72,72,Gimnàstic de Tarragona,€1.6M,€8K,LS
3244,A. Cordaz,35,Italy,72,72,Crotone,€725K,€2K,GK
3245,J. Correa,25,Argentina,72,75,Clube Sport Marítimo,€3.9M,€8K,RM
3246,M. Morishige,31,Japan,72,72,FC Tokyo,€2.1M,€8K,LCB
3247,Bruno Tabata,21,Brazil,72,81,Portimonense SC,€4.8M,€6K,RW
3248,I. Mboyo,31,Belgium,72,72,KV Kortrijk,€2.8M,€12K,ST
3249,P. Kasami,26,Switzerland,72,73,FC Sion,€3.7M,€22K,CAM
3250,S. Montoya,26,Colombia,72,73,Millonarios FC,€3.7M,€4K,CAM
3251,T. Aoyama,32,Japan,72,72,Sanfrecce Hiroshima,€2.4M,€10K,CM
3252,João Félix,18,Portugal,72,88,SL Benfica,€6.5M,€5K,LW
3253,H. Diallo,23,Senegal,72,80,FC Metz,€4.6M,€6K,ST
3254,Bruno Lamas,24,Brazil,72,77,Santa Clara,€4.2M,€4K,CAM
3255,P. Gerkens,23,Belgium,72,77,RSC Anderlecht,€4.2M,€13K,RF
